route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307716,"North to UNCC",0,928102,5010108
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307717,"North to UNCC",0,928107,5010108
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307718,"North to UNCC",0,928108,5010108
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307719,"North to UNCC",0,928104,5010108
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307720,"North to UNCC",0,928105,5010108
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307721,"North to UNCC",0,928103,5010108
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307722,"North to UNCC",0,928109,5010108
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307723,"North to UNCC",0,928106,5010108
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307724,"North to UNCC",0,928102,5010108
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307725,"North to UNCC",0,928107,5010108
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307726,"North to UNCC",0,928108,5010108
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307727,"North to UNCC",0,928104,5010108
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307728,"North to UNCC",0,928105,5010108
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307729,"North to UNCC",0,928103,5010108
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307730,"North to UNCC",0,928109,5010108
501,BLE-Weekday-0-RAIL-26-01-1111100-,5306687,"South to I-485/S. Blvd",1,928071,5010107
501,BLE-Weekday-0-RAIL-26-01-1111100-,5306688,"South to I-485/S. Blvd",1,928075,5010107
501,BLE-Weekday-0-RAIL-26-01-1111100-,5306689,"South to I-485/S. Blvd",1,928082,5010107
501,BLE-Weekday-0-RAIL-26-01-1111100-,5306690,"South to I-485/S. Blvd",1,928072,5010107
501,BLE-Weekday-0-RAIL-26-01-1111100-,5306693,"North to UNCC",0,928070,5010110
501,BLE-Weekday-0-RAIL-26-01-1111100-,5306694,"South to I-485/S. Blvd",1,928080,5010107
501,BLE-Weekday-0-RAIL-26-01-1111100-,5306695,"South to I-485/S. Blvd",1,928074,5010107
